"example","model","waic","wi_all","max_rhat","min_ess","min_ess_ratio","n_divergent","failed","n_groups","location_outside","scale_outside","max_abs_log_sd_ratio","wi_screened","minutes"
"beta","ecxwb1",-476.773363106061,0.874629263251072,1.00080926750005,3897.54184035074,0.487192730043843,0,FALSE,6,1,6,0.963885031558892,0.896909470295658,24.5
"beta","ecxll3",-455.218021070079,0.0407175894632488,1.00135759760639,3498.47161846668,0.437308952308334,0,FALSE,6,1,6,1.0660957141025,0.0481108062323934,24.5
"beta","ecxhormebc4",-454.658488914567,0.0322854748268456,1.00518818543477,295.558333071901,0.0369447916339876,191,TRUE,6,1,6,1.05644105792342,NA,24.5
"beta","ecx4param",-459.689102890171,0.0242328611249227,1.00144664765586,3641.58857434404,0.455198571793004,0,FALSE,6,0,6,1.02975760721695,0.0250285878340671,24.5
"beta","ecxll4",-459.725264190572,0.0225798478771266,1.00170062265887,3766.77240070886,0.470846550088608,0,FALSE,6,0,6,1.02736167605533,0.0233145139336346,24.5
"beta","ecxwb2p3",-442.539869699937,0.00224872297881938,1.00098405704655,3599.49021607207,0.449936277009008,0,FALSE,6,2,6,1.07846554648553,0.00266043303503957,24.5
"beta","ecxwb2",-440.106017507251,0.00193719625107167,1.00176097684972,3367.08856462447,0.420886070578059,0,FALSE,6,1,5,1.10643964589449,0.00245236877455219,24.5
"beta","nec3param",-421.42589304058,0.000506134182626588,1.00112691020239,3439.30149737996,0.429912687172496,0,FALSE,6,1,4,1.19238818033874,0.00152369081833853,24.5
"beta","nechorme",-420.747996125349,0.000442725693917597,1.00107976786794,2897.86800812779,0.362233501015973,28,TRUE,6,1,4,1.1908166929208,NA,24.5
"beta","nechormepwr01",-420.650529160795,0.000420120694633249,1.0016251539124,3046.73988216436,0.380842485270545,46,TRUE,6,1,4,1.19156361133575,NA,24.5
"beta","ecxwb1p3",-397.365192825315,3.54314236146789e-08,1.00205384119246,3140.11407467716,0.392514259334645,0,FALSE,6,1,5,1.48891195542451,1.29076316295755e-07,24.5
"beta","nec4param",-403.020762772183,2.68071707824548e-08,1.52871626285083,7.1331670166851,0.000891645877085637,1,TRUE,6,0,4,1.21848980702765,NA,24.5
"beta","nechorme4",-393.472135997306,1.41712195092636e-09,1.53901218008658,7.11567966336497,0.000889459957920622,24,TRUE,6,1,4,1.24555512087148,NA,24.5
"beta","ecxexp",-201.657303581553,3.90618810022556e-38,1.00040351080045,3466.04797083685,0.433255996354606,0,FALSE,6,4,6,2.03666114209338,1.86216417981213e-31,24.5
