"example","model","waic","wi_all","max_rhat","min_ess","min_ess_ratio","n_divergent","failed","n_groups","location_outside","scale_outside","max_abs_log_sd_ratio","wi_screened","minutes"
"gamma","ecxhormebc4",1076.21939191325,0.33407060601096,1.0025968097574,1917.61016503803,0.239701270629753,289,TRUE,11,2,3,1.64759012594057,NA,19.6
"gamma","ecxll3",1076.46663320338,0.319065832070073,1.00165233402167,3080.80340788392,0.38510042598549,0,FALSE,11,1,2,1.66278255604417,0.567248163809521,19.6
"gamma","ecxwb2p3",1080.02495683393,0.141614363915119,1.00142536543766,3329.60906636822,0.416201133296028,0,FALSE,11,1,3,1.67268308925098,0.18121969629207,19.6
"gamma","ecxll4",1080.62064130697,0.0403440542084056,1.00227363888447,2896.36634950641,0.362045793688301,0,FALSE,11,2,3,1.66003965811342,0.0651804273875183,19.6
"gamma","ecxwb1p3",1105.46092640181,0.0399735048083739,1.00113944217722,2000.37697317848,0.25004712164731,0,FALSE,11,2,6,2.04388141024486,0.0581021719907985,19.6
"gamma","ecx4param",1080.75397474856,0.0338997878960584,1.00123099780248,3568.80633085938,0.446100791357423,0,FALSE,11,2,3,1.6913549106215,0.0544968644660423,19.6
"gamma","ecxwb2",1084.64522893351,0.0277279991659994,1.00162274243091,3021.49789071962,0.377687236339952,0,FALSE,11,1,3,1.71351771258391,0.0351903505823805,19.6
"gamma","nec3param",1089.12808866996,0.0262539281387423,1.00147952318203,3113.66558626807,0.389208198283509,0,FALSE,11,1,4,1.74611031740369,0.0283498176947751,19.6
"gamma","nechorme",1089.30252895712,0.0215003735793701,1.00124508919115,3703.15402201356,0.462894252751695,50,TRUE,11,1,4,1.76300512193954,NA,19.6
"gamma","nec4param",1093.50495037806,0.00746652916726938,1.00142329252464,3054.82311225058,0.381852889031322,0,FALSE,11,2,5,1.79896077376554,0.00857383507356009,19.6
"gamma","nechorme4",1093.6286030754,0.00715011186142754,1.00104445045991,3611.18176561348,0.451397720701685,11,TRUE,11,1,5,1.81324252040775,NA,19.6
"gamma","ecxwb1",1095.22755156475,0.000932909178201503,1.00127719703882,2512.14597088675,0.314018246360844,0,FALSE,11,1,6,1.86950403916326,0.00163867270333444,19.6
"gamma","ecxexp",1228.25031406538,1.79962603186683e-24,1.00192588969574,3573.57868314754,0.446697335393443,0,FALSE,11,2,11,3.61355276979611,1.5705966767398e-23,19.6
