"example","model","waic","wi_all","max_rhat","min_ess","min_ess_ratio","n_divergent","failed","n_groups","location_outside","scale_outside","max_abs_log_sd_ratio","wi_screened","minutes"
"gaussian","ecxwb1",-298.227408679422,0.312290173599919,1.03632903861187,30.5112998688956,0.00381391248361194,177,TRUE,14,3,12,2.03586411513484,NA,23.5
"gaussian","ecxll4",-298.023551088601,0.267304124004324,1.018410848288,81.0328798928263,0.0101291099866033,146,TRUE,14,3,12,2.03369142892041,NA,23.5
"gaussian","ecxwb2",-296.705540659449,0.0969945684248993,1.00234192602888,593.141666742975,0.0741427083428718,739,TRUE,14,3,12,2.0407403197426,NA,23.5
"gaussian","nechorme4",-297.225214325356,0.0956242281912258,1.01549519007203,83.300175243612,0.0104125219054515,8,TRUE,14,3,12,2.05150743442956,NA,23.5
"gaussian","nec4param",-296.135539509998,0.0825964599207926,1.01602953103342,291.968977234759,0.0364961221543448,4,TRUE,14,3,12,2.04160547143674,NA,23.5
"gaussian","ecx4param",-297.567797360794,0.0771470290312851,1.00200890006445,705.527895412499,0.0881909869265624,956,TRUE,14,3,12,2.05195063715447,NA,23.5
"gaussian","ecxhormebc5",-295.946957000143,0.0680434168001587,1.05868606648678,27.4331848328782,0.00342914810410977,667,TRUE,14,3,12,2.04221877746637,NA,23.5
"gaussian","neclinhorme",-220.753840830006,1.69520290265914e-11,1.00163347120747,2826.84660434819,0.353355825543523,14,TRUE,14,3,11,2.49819193382741,NA,23.5
"gaussian","neclin",-221.408341555614,1.04443329191666e-11,1.00111138755696,2739.04572323616,0.342380715404519,0,FALSE,14,3,11,2.49978047518673,0.999999264483867,23.5
"gaussian","ecxlin",-91.6267142012473,1.53301874486597e-17,1.00116528362842,3954.85095528087,0.494356369410109,0,FALSE,14,3,12,3.31438317514594,7.35516132829438e-07,23.5
"gaussian","nec3param",-91.8003638830948,5.58802526536155e-22,1.00205287990708,1612.7306456333,0.201591330704163,28,TRUE,14,2,12,3.32060023627984,NA,23.5
"gaussian","nechormepwr01",-91.1989677399364,4.58365486984673e-22,1.00426978288599,1449.25421426735,0.181156776783418,37,TRUE,14,2,12,3.32441943004783,NA,23.5
"gaussian","nechorme",-90.9802486455904,2.54351197417779e-22,1.00401141402036,1438.49953996607,0.179812442495759,29,TRUE,14,2,12,3.32093196364339,NA,23.5
"gaussian","ecxwb2p3",-91.4115850328197,2.42666243589513e-22,1.00206744949863,1132.43500022378,0.141554375027973,2327,TRUE,14,2,12,3.31594723161577,NA,23.5
"gaussian","ecxwb1p3",-91.8290618965259,1.73968131568166e-22,1.00400591150036,1287.9147688284,0.16098934610355,1531,TRUE,14,2,12,3.31344564984369,NA,23.5
"gaussian","ecxexp",-75.1431338503207,8.07694529806296e-23,1.00892762244308,254.653480735783,0.0318316850919729,55,TRUE,14,2,13,3.41701177799105,NA,23.5
