"example","model","waic","wi_all","max_rhat","min_ess","min_ess_ratio","n_divergent","failed","n_groups","location_outside","scale_outside","max_abs_log_sd_ratio","wi_screened","minutes"
"hurdle","nec3param",1114.37323087717,0.16922740110091,1.0023098039051,2762.18923028517,0.345273653785646,0,FALSE,10,0,5,1.02049196751274,0.40480749149789,71.2
"hurdle","nechorme",1114.94801495814,0.126837570789551,1.00215884497904,2187.4653612415,0.273433170155187,0,FALSE,10,0,7,1.03373974423829,0.284614858962277,71.2
"hurdle","nec4param",1117.94524277756,0.116949275640621,1.03511078557153,194.223609658976,0.024277951207372,57,TRUE,10,0,5,0.893974047513524,NA,71.2
"hurdle","nechorme4",1117.92547851126,0.10401526064319,1.00237715009014,1384.31586626961,0.173039483283701,65,TRUE,10,0,6,0.903710730014128,NA,71.2
"hurdle","ecxwb2",1117.85327641342,0.0905268145216047,1.00340209028671,1153.70010410866,0.144212513013582,733,TRUE,10,0,5,0.896555769957776,NA,71.2
"hurdle","ecxwb1p3",1122.35692431417,0.0774264328122971,1.00129434071824,2326.53228732611,0.290816535915764,0,FALSE,10,1,6,1.02540921254342,0.0847609385256717,71.2
"hurdle","ecx4param",1118.19856566961,0.0626873688521914,1.00253331359253,1351.92736567939,0.168990920709923,839,TRUE,10,0,5,0.89901810442706,NA,71.2
"hurdle","ecxll3",1119.24885614306,0.056329582326688,1.00128342255626,3004.74318805178,0.375592898506472,0,FALSE,10,0,6,1.06225791786379,0.0746893344803916,71.2
"hurdle","ecxwb2p3",1117.82149965191,0.0526157531132117,1.00047672071627,3031.86206740589,0.378982758425736,0,FALSE,10,0,7,1.06438959298016,0.0807045896740378,71.2
"hurdle","ecxll4",1119.25505674758,0.0493237728859614,1.00393173237853,1175.49004920934,0.146936256151168,604,TRUE,10,0,5,0.895215619647062,NA,71.2
"hurdle","ecxhormebc4",1119.61850255942,0.0461509011261828,1.00303195080742,2240.50628357601,0.280063285447001,3,FALSE,10,0,7,1.07443264245862,0.0622169045585213,71.2
"hurdle","ecxwb1",1120.40761515622,0.031913085215437,1.00270972799357,833.191971860829,0.104148996482604,769,TRUE,10,0,6,0.905067339415239,NA,71.2
"hurdle","ecxexp",1165.21056017063,0.0159967809721539,1.00147476226106,2454.42775784938,0.306803469731173,0,FALSE,10,2,4,0.992026962172786,0.00820588230120992,71.2
