"example","model","waic","wi_all","max_rhat","min_ess","min_ess_ratio","n_divergent","failed","n_groups","location_outside","scale_outside","max_abs_log_sd_ratio","wi_screened","minutes"
"negbinomial","ecxwb1",1601.37340448823,0.462204125594458,1.00213355104466,802.306529588553,0.100288316198569,15,TRUE,14,2,12,1.94450246503793,NA,20.1
"negbinomial","ecxll4",1603.81269240521,0.192931341870846,1.09729864672052,18.3708813813735,0.00229636017267169,639,TRUE,14,3,12,1.99936743047318,NA,20.1
"negbinomial","nechorme4",1604.33765666734,0.112275935603666,1.00417731295769,393.5969532958,0.049199619161975,87,TRUE,14,3,12,1.98196729492604,NA,20.1
"negbinomial","nec4param",1604.63341525593,0.0931143663630258,1.00751202611224,72.6150836283021,0.00907688545353776,108,TRUE,14,3,12,1.99817212912603,NA,20.1
"negbinomial","ecxwb2",1605.14673453311,0.0906748267752833,1.00142461573495,2256.56041317908,0.282070051647385,1217,TRUE,14,3,12,1.98591046247351,NA,20.1
"negbinomial","ecx4param",1605.67216196252,0.0487688477310498,1.00179206568265,2034.97515675985,0.254371894594981,1066,TRUE,14,3,12,1.98518242035606,NA,20.1
"negbinomial","ecxhormebc4",1670.18865601219,7.01764352901106e-06,1.0019232176344,1933.48551658946,0.241685689573683,348,TRUE,14,2,11,2.3235144431484,NA,20.1
"negbinomial","nechorme",1667.84167046735,5.63485996292259e-06,1.00219647347198,2813.60255409216,0.35170031926152,76,TRUE,14,2,11,2.38798823701679,NA,20.1
"negbinomial","ecxll3",1670.26168810975,5.10494878412445e-06,1.00143187007403,3196.70789944697,0.399588487430871,0,FALSE,14,2,11,2.3256134840038,0.15940417288332,20.1
"negbinomial","ecxwb2p3",1668.79144376779,4.79616239382676e-06,1.00132298758769,3331.12007825265,0.416390009781581,0,FALSE,14,2,11,2.36421995821436,0.319575137363671,20.1
"negbinomial","ecxwb1p3",1682.91974648042,4.11458056988077e-06,1.00092047275356,3208.80953678583,0.401101192098229,0,FALSE,14,1,12,2.44890028504885,0.0053747116758097,20.1
"negbinomial","nec3param",1668.06520045982,3.8878664305141e-06,1.00259757314798,2869.71602072171,0.358714502590214,0,FALSE,14,2,11,2.40593445251134,0.515645804634789,20.1
"negbinomial","ecxexp",1781.91653060964,2.37075766982734e-20,1.00229290646767,2904.88632109459,0.363110790136824,0,FALSE,14,2,13,3.07892240605043,1.73442410813985e-07,20.1
