"example","model","waic","wi_all","max_rhat","min_ess","min_ess_ratio","n_divergent","failed","n_groups","location_outside","scale_outside","max_abs_log_sd_ratio","wi_screened","minutes"
"poisson","ecxwb1",18098.6989721151,0.998,1.00090843842701,4046.57777697322,0.505822222121653,0,FALSE,14,13,14,3.13069306491255,0.994999999999736,24.7
"poisson","ecxwb1p3",28106.7439815786,0.002,1.00169484160891,3762.04153308981,0.470255191636227,0,FALSE,14,14,14,3.15996325316717,0.00500000000026353,24.7
"poisson","nec3param",1808815.01931956,0,1.52839172935659,7.14285912442461,0.000892857390553076,0,TRUE,14,11,14,3.29021373507381,NA,24.7
"poisson","nec4param",1809375.36009001,0,1.52924115353223,7.1232258305319,0.000890403228816487,0,TRUE,14,11,14,3.2720706759454,NA,24.7
"poisson","nechorme",1808200.82029014,0,1.52985045288821,7.13810582270589,0.000892263227838237,0,TRUE,14,10,14,3.29833765875513,NA,24.7
"poisson","nechorme4",4377641.29079727,0,1.53935921523787,7.11293152907514,0.000889116441134393,135,TRUE,14,12,14,3.08851705994146,NA,24.7
"poisson","ecxexp",230784.299144532,0,1.00130284995303,2585.32985611388,0.323166232014234,0,FALSE,14,14,14,2.93976033989094,0,24.7
"poisson","ecx4param",25872.9981184233,0,1.00121021473837,2656.4890711948,0.332061133899349,0,FALSE,14,14,14,3.14576758717598,0,24.7
"poisson","ecxwb2",29442.4129565702,0,1.00084278015815,2767.3265093518,0.345915813668974,0,FALSE,14,14,14,3.18999556839327,0,24.7
"poisson","ecxwb2p3",28897.8578958585,0,1.00322651860813,3089.82368305289,0.386227960381611,0,FALSE,14,14,14,3.18833937437717,0,24.7
"poisson","ecxll4",25902.8838500784,0,1.00283519110495,2951.73767786162,0.368967209732702,0,FALSE,14,14,14,3.18546185681253,0,24.7
"poisson","ecxll3",25482.0896263939,0,1.00169107541503,3003.90469880198,0.375488087350248,0,FALSE,14,13,14,3.16156712232796,0,24.7
"poisson","ecxhormebc4",25368.8100776286,0,1.00083768092638,3421.48067729479,0.427685084661848,0,FALSE,14,13,14,3.17145483075803,0,24.7
