"file","object","n_models","sample_seconds"
"fits/m6_exmp_e.RData","exmp_e",3,241.3
"fits/m6_exmp_c.RData","exmp_c",2,227.2
"fits/m6_exmp_d.RData","exmp_d",2,129.2
"fits/m6_exmp_b.RData","exmp_b",1,113.3
"fits/m7_am_fit.RData","m7_am_fit",10,33.4
"fits/m7_scale_log.RData","m7_scale_log",3,13.2
"fits/m5_exp_5.RData","exp_5",2,13
"fits/m7_am_reduced.RData","m7_am_reduced",10,12.6
"fits/m5_exp_2.RData","exp_2",2,10.1
"fits/m6_exmp_a.RData","exmp_a",1,10.1
"fits/m5_exp_2_disp.RData","exp_2_disp",1,9.2
"fits/m4_bmanecfit_more.RData","bmanecfit_more",3,7.7
"fits/m5_exp_1b.RData","exp_1b",2,5.8
"fits/m7_scale_raw.RData","m7_scale_raw",1,5.7
"fits/m5_exp_2_const.RData","exp_2_const",1,5.3
"fits/m7_am_disp.RData","m7_am_disp",1,5.3
"fits/m5_exp_3b.RData","exp_3b",2,5
"fits/m5_exp_4.RData","exp_4",2,5
"fits/m6_bnec_fit.RData","bnec_fit",1,3.3
"fits/m4_bnec_fit.RData","bnec_fit",1,3
"fits/m5_exp_3.RData","exp_3",2,2.9
"fits/m2_bnec_fit.RData","bnec_fit",1,2.8
"fits/m2_ecxll3_fit.RData","ecxll3_fit",1,2.8
"fits/m4_bnec_fit_new.RData","bnec_fit_new",1,2.4
"fits/m5_exp_1nec.RData","exp_1nec",1,1.4
"fits/m5_exp_1ecx.RData","exp_1ecx",1,0.8
