"fit","x_e","y_e","y_ci","x_r","y_r","nec_vals","group"
"no group term",0,0.29282703,0.26483518075,NA,NA,NA,NA
"no group term",11.9191919191919,0.290424393077222,0.262803850374338,NA,NA,NA,NA
"no group term",23.8383838383838,0.288052088741318,0.260828124375731,NA,NA,NA,NA
"no group term",35.7575757575758,0.285651865970137,0.258971518352925,NA,NA,NA,NA
"no group term",47.6767676767677,0.283242404341095,0.257107894569849,NA,NA,NA,NA
"no group term",59.5959595959596,0.280899521718998,0.255009527219861,NA,NA,NA,NA
"no group term",71.5151515151515,0.278491270709977,0.252936540714567,NA,NA,NA,NA
"no group term",83.4343434343434,0.276122927492727,0.250948368738135,NA,NA,NA,NA
"no group term",95.3535353535353,0.273715090230045,0.248855867557683,NA,NA,NA,NA
"no group term",107.272727272727,0.271316139379862,0.246844735366944,NA,NA,NA,NA
"no group term",119.191919191919,0.268945657273156,0.244854625670354,NA,NA,NA,NA
"no group term",131.111111111111,0.266586257210584,0.242777953663177,NA,NA,NA,NA
"no group term",143.030303030303,0.264209660899537,0.240716315277723,NA,NA,NA,NA
"no group term",154.949494949495,0.26182230087275,0.23870628837133,NA,NA,NA,NA
"no group term",166.868686868687,0.259448321426284,0.236669503061608,NA,NA,NA,NA
"no group term",178.787878787879,0.257049121417626,0.23462417447357,NA,NA,NA,NA
"no group term",190.707070707071,0.25466054994514,0.232601205089158,NA,NA,NA,NA
"no group term",202.626262626263,0.252263036491279,0.230516428109748,NA,NA,NA,NA
"no group term",214.545454545455,0.249882785933607,0.228489933648009,NA,NA,NA,NA
"no group term",226.464646464646,0.247462006753174,0.226453202179125,NA,NA,NA,NA
"no group term",238.383838383838,0.245062186207855,0.224306974397587,NA,NA,NA,NA
"no group term",250.30303030303,0.242692386295416,0.222276477449956,NA,NA,NA,NA
"no group term",262.222222222222,0.240328203294448,0.220190590402479,NA,NA,NA,NA
"no group term",274.141414141414,0.237910169141826,0.217978921057191,NA,NA,NA,NA
"no group term",286.060606060606,0.235465011084175,0.215712916441704,NA,NA,NA,NA
"no group term",297.979797979798,0.233049759230011,0.213609623182963,NA,NA,NA,NA
"no group term",309.89898989899,0.230694746258389,0.211440272307853,NA,NA,NA,NA
"no group term",321.818181818182,0.228329979101859,0.209304269128311,NA,NA,NA,NA
"no group term",333.737373737374,0.225998126272524,0.207076594699693,NA,NA,NA,NA
"no group term",345.656565656566,0.223602524226815,0.204896955517071,NA,NA,NA,NA
"no group term",357.575757575758,0.221233225982786,0.202769374737328,NA,NA,NA,NA
"no group term",369.494949494949,0.218831573805746,0.200526559097294,NA,NA,NA,NA
"no group term",381.414141414141,0.216405777184158,0.198361871820981,NA,NA,NA,NA
