"fit","x","Estimate","Q2.5","Q97.5"
"no group term",0.002,694391.482885653,658937.773930388,730579.784755082
"no group term",0.0122486486486486,694100.25277968,658681.128785062,730169.326837067
"no group term",0.0224972972972973,691590.091745228,656854.405859021,727106.127196354
"no group term",0.0327459459459459,683966.978374049,651134.764426272,717495.325341059
"no group term",0.0429945945945946,667679.443234605,637276.688079154,699078.369882531
"no group term",0.0532432432432432,639975.068613838,610663.886110456,669719.948503954
"no group term",0.0634918918918919,599331.056064477,568724.582068829,629848.899431133
"no group term",0.0737405405405405,547060.369431974,513309.147836677,580999.549368185
"no group term",0.0839891891891892,486584.810527863,450055.117873646,523811.688387002
"no group term",0.0942378378378378,422473.829515292,385509.919033952,461546.315715981
"no group term",0.104486486486486,359968.78476538,324929.682845452,398114.463407238
"no group term",0.114735135135135,302311.620538993,270844.699538676,337558.949958779
"no group term",0.124983783783784,251691.538226386,224594.135156545,282929.535632309
"no group term",0.135232432432432,208590.890041883,185854.689683195,235646.643302876
"no group term",0.145481081081081,172759.261271273,153684.80440709,195254.665638119
"no group term",0.15572972972973,143225.435408104,127469.942565016,161703.678312133
"no group term",0.165978378378378,119155.27251553,106123.171820077,134333.639224
"no group term",0.176227027027027,99513.0546923668,88611.5223409605,112045.78331272
"no group term",0.186475675675676,83575.4745325097,74422.0927552685,94129.324547588
"no group term",0.196724324324324,70581.7420732729,62775.9620451847,79484.0315492897
"no group term",0.206972972972973,59955.9102852079,53197.4128606588,67572.8845394048
"no group term",0.217221621621622,51204.5484791396,45306.4434612356,57777.6768592545
"no group term",0.22747027027027,43954.1133423161,38813.1273241348,49721.8722148777
"no group term",0.237718918918919,37954.2576432347,33344.8305973084,43029.9437560381
"no group term",0.247967567567568,32939.8711974647,28830.0286186671,37484.1537868534
"no group term",0.258216216216216,28726.2862914339,25029.3688785391,32838.4655497874
"no group term",0.268464864864865,25171.976879715,21850.9376599583,28889.0202425255
"no group term",0.278713513513513,22160.9045416336,19140.3543619988,25546.8023208904
"no group term",0.288962162162162,19590.8013986622,16805.5144176098,22675.6242973017
"no group term",0.299210810810811,17376.6090889719,14833.392506935,20210.8927294902
"no group term",0.309459459459459,15476.6204284068,13139.7999672434,18078.6723903024
"no group term",0.319708108108108,13843.9110902173,11690.3474073597,16249.4833213704
"no group term",0.329956756756757,12425.0029611334,10439.2612649527,14647.9641470155
"no group term",0.340205405405405,11187.7093026581,9347.75057219997,13246.7909481127
"no group term",0.350454054054054,10106.7486513643,8407.20090843978,12021.3105164138
"no group term",0.360702702702703,9160.99650447221,7587.23329741664,10942.42673397
"no group term",0.370951351351351,8325.18824688114,6864.25177918906,9985.86528469439
"no group term",0.3812,7586.33804064496,6221.63605298313,9141.08598133065
"no group term",0.391448648648649,6931.9429072495,5661.63406406908,8388.07904684833
"no group term",0.401697297297297,6350.66495505515,5162.55810835225,7715.34683465262
"no group term",0.411945945945946,5831.41400487813,4720.56635141176,7118.36273200891
"no group term",0.422194594594595,5370.04402556136,4326.80388403272,6577.96863336537
"no group term",0.432443243243243,4954.55365047661,3977.76840438185,6097.26509861952
"no group term",0.442691891891892,4580.12656673572,3663.47245442878,5664.61816680957
"no group term",0.452940540540541,4243.97819491347,3382.04456473761,5268.62807363095
"no group term",0.463189189189189,3940.61406427607,3132.61255963901,4913.02968118233
"no group term",0.473437837837838,3666.68695013191,2907.31389353867,4587.77411033634
"no group term",0.483686486486486,3416.88143892565,2702.81031328034,4293.23013012795
"no group term",0.493935135135135,3192.19760231142,2518.54965672483,4021.63717528546
"no group term",0.504183783783784,2988.5354189273,2350.84826892877,3774.8940864146
"no group term",0.514432432432432,2801.69859488594,2199.93376392227,3548.89741171987
