"conc","rlu_cens","plate"
0.003,1064085,"Cu 19Mar24 Rep1B"
0.003,1107620,"Cu 19Mar24 Rep1B"
0.003,990758,"Cu 19Mar24 Rep1B"
0.003,1067172,"Cu 19Mar24 Rep1B"
0.0137424,1032736,"Cu 19Mar24 Rep1B"
0.0137424,1074238,"Cu 19Mar24 Rep1B"
0.0137424,1001750,"Cu 19Mar24 Rep1B"
0.0137424,1002096,"Cu 19Mar24 Rep1B"
0.023888,1009152,"Cu 19Mar24 Rep1B"
0.023888,1031561,"Cu 19Mar24 Rep1B"
0.023888,929606,"Cu 19Mar24 Rep1B"
0.023888,966793,"Cu 19Mar24 Rep1B"
0.044776,906707,"Cu 19Mar24 Rep1B"
0.044776,997850,"Cu 19Mar24 Rep1B"
0.044776,975091,"Cu 19Mar24 Rep1B"
0.044776,983525,"Cu 19Mar24 Rep1B"
0.086552,797599,"Cu 19Mar24 Rep1B"
0.086552,746990,"Cu 19Mar24 Rep1B"
0.086552,793499,"Cu 19Mar24 Rep1B"
0.086552,783921,"Cu 19Mar24 Rep1B"
0.1707008,181042,"Cu 19Mar24 Rep1B"
0.1707008,165812,"Cu 19Mar24 Rep1B"
0.1707008,184654,"Cu 19Mar24 Rep1B"
0.1707008,153438,"Cu 19Mar24 Rep1B"
0.3389984,7389,"Cu 19Mar24 Rep1B"
0.3389984,8011,"Cu 19Mar24 Rep1B"
0.3389984,5392,"Cu 19Mar24 Rep1B"
0.3389984,6448,"Cu 19Mar24 Rep1B"
0.6744,408,"Cu 19Mar24 Rep1B"
0.6744,387,"Cu 19Mar24 Rep1B"
0.6744,802,"Cu 19Mar24 Rep1B"
0.6744,308,"Cu 19Mar24 Rep1B"
1.3458,177,"Cu 19Mar24 Rep1B"
1.3458,561,"Cu 19Mar24 Rep1B"
1.3458,22,"Cu 19Mar24 Rep1B"
1.3458,33,"Cu 19Mar24 Rep1B"
2.6886,1081,"Cu 19Mar24 Rep1B"
2.6886,66,"Cu 19Mar24 Rep1B"
2.6886,131,"Cu 19Mar24 Rep1B"
2.6886,864,"Cu 19Mar24 Rep1B"
5.3742,653,"Cu 19Mar24 Rep1B"
5.3742,132,"Cu 19Mar24 Rep1B"
5.3742,528,"Cu 19Mar24 Rep1B"
5.3742,43,"Cu 19Mar24 Rep1B"
0.003,987331,"Cu 19Mar24 Rep2B"
0.003,852402,"Cu 19Mar24 Rep2B"
0.003,830471,"Cu 19Mar24 Rep2B"
0.003,813618,"Cu 19Mar24 Rep2B"
0.0137424,770544,"Cu 19Mar24 Rep2B"
0.0137424,842009,"Cu 19Mar24 Rep2B"
0.0137424,739619,"Cu 19Mar24 Rep2B"
0.0137424,763890,"Cu 19Mar24 Rep2B"
0.023888,777995,"Cu 19Mar24 Rep2B"
0.023888,773954,"Cu 19Mar24 Rep2B"
0.023888,705709,"Cu 19Mar24 Rep2B"
0.023888,784626,"Cu 19Mar24 Rep2B"
0.044776,687332,"Cu 19Mar24 Rep2B"
0.044776,679363,"Cu 19Mar24 Rep2B"
0.044776,750592,"Cu 19Mar24 Rep2B"
0.044776,746348,"Cu 19Mar24 Rep2B"
0.086552,608639,"Cu 19Mar24 Rep2B"
0.086552,605416,"Cu 19Mar24 Rep2B"
0.086552,603805,"Cu 19Mar24 Rep2B"
0.086552,607078,"Cu 19Mar24 Rep2B"
0.1707008,116749,"Cu 19Mar24 Rep2B"
0.1707008,144759,"Cu 19Mar24 Rep2B"
0.1707008,137867,"Cu 19Mar24 Rep2B"
0.1707008,105019,"Cu 19Mar24 Rep2B"
0.3389984,4033,"Cu 19Mar24 Rep2B"
0.3389984,5055,"Cu 19Mar24 Rep2B"
0.3389984,3082,"Cu 19Mar24 Rep2B"
0.3389984,4051,"Cu 19Mar24 Rep2B"
0.6744,474,"Cu 19Mar24 Rep2B"
0.6744,363,"Cu 19Mar24 Rep2B"
0.6744,533,"Cu 19Mar24 Rep2B"
0.6744,81,"Cu 19Mar24 Rep2B"
1.3458,81,"Cu 19Mar24 Rep2B"
1.3458,81,"Cu 19Mar24 Rep2B"
1.3458,81,"Cu 19Mar24 Rep2B"
1.3458,81,"Cu 19Mar24 Rep2B"
2.6886,81,"Cu 19Mar24 Rep2B"
2.6886,81,"Cu 19Mar24 Rep2B"
2.6886,81,"Cu 19Mar24 Rep2B"
2.6886,81,"Cu 19Mar24 Rep2B"
5.3742,110,"Cu 19Mar24 Rep2B"
5.3742,1192,"Cu 19Mar24 Rep2B"
5.3742,81,"Cu 19Mar24 Rep2B"
5.3742,401,"Cu 19Mar24 Rep2B"
0.003,873309,"Cu 19Mar24 Rep3A"
0.003,890027,"Cu 19Mar24 Rep3A"
0.003,879505,"Cu 19Mar24 Rep3A"
0.003,849589,"Cu 19Mar24 Rep3A"
0.0137424,840768,"Cu 19Mar24 Rep3A"
0.0137424,962744,"Cu 19Mar24 Rep3A"
0.0137424,769298,"Cu 19Mar24 Rep3A"
0.0137424,778863,"Cu 19Mar24 Rep3A"
0.023888,763778,"Cu 19Mar24 Rep3A"
0.023888,836617,"Cu 19Mar24 Rep3A"
0.023888,747906,"Cu 19Mar24 Rep3A"
0.023888,803735,"Cu 19Mar24 Rep3A"
0.044776,811663,"Cu 19Mar24 Rep3A"
0.044776,732222,"Cu 19Mar24 Rep3A"
