"fit","x_e","y_e","y_ci","x_r","y_r","nec_vals"
"Cu",0.002,615250.903066045,487085.920580572,NA,NA,NA
"Cu",0.0122486486486486,614091.527338388,486230.540879921,NA,NA,NA
"Cu",0.0224972972972973,609623.392751006,483433.343811697,NA,NA,NA
"Cu",0.0327459459459459,599176.554592756,475572.467004363,NA,NA,NA
"Cu",0.0429945945945946,579437.663337061,458307.269010849,NA,NA,NA
"Cu",0.0532432432432432,550025.421293354,432226.348498376,NA,NA,NA
"Cu",0.0634918918918919,509317.645719685,399566.195211217,NA,NA,NA
"Cu",0.0737405405405405,460237.31535138,362097.801393918,NA,NA,NA
"Cu",0.0839891891891892,405757.79659627,319848.27842186,NA,NA,NA
"Cu",0.0942378378378378,350938.922422311,276555.143228928,NA,NA,NA
"Cu",0.104486486486486,298197.885116831,235144.593195791,NA,NA,NA
"Cu",0.114735135135135,250483.009087812,197456.675996755,NA,NA,NA
"Cu",0.124983783783784,209108.08394857,164521.374055956,NA,NA,NA
"Cu",0.135232432432432,173901.538174521,136126.625957875,NA,NA,NA
"Cu",0.145481081081081,144371.687734537,112894.671515225,NA,NA,NA
"Cu",0.15572972972973,120203.664883793,93975.046292573,NA,NA,NA
"Cu",0.165978378378378,100325.407333657,78345.057014121,NA,NA,NA
"Cu",0.176227027027027,84055.7405911954,65343.7245151174,NA,NA,NA
"Cu",0.186475675675676,70965.5847767706,54927.7971308473,NA,NA,NA
"Cu",0.196724324324324,60102.8966514649,46412.3212152413,NA,NA,NA
"Cu",0.206972972972973,51262.4719541815,39417.6456574786,NA,NA,NA
"Cu",0.217221621621622,43835.6471448616,33455.4090281862,NA,NA,NA
"Cu",0.22747027027027,37809.8004040676,28327.1899922549,NA,NA,NA
"Cu",0.237718918918919,32815.9445966833,23838.7963538082,NA,NA,NA
"Cu",0.247967567567568,28725.3279428114,19861.3059208031,NA,NA,NA
"Cu",0.258216216216216,25304.8498705303,16479.973923344,NA,NA,NA
"Cu",0.268464864864865,22457.3266992907,13507.2619270368,NA,NA,NA
"Cu",0.278713513513513,20051.7607167741,11005.5814757437,NA,NA,NA
"Cu",0.288962162162162,17997.2762687094,9041.92948474444,NA,NA,NA
"Cu",0.299210810810811,16251.1622707423,7457.59649302928,NA,NA,NA
"Cu",0.309459459459459,14741.0554774125,6313.33015201548,NA,NA,NA
"Cu",0.319708108108108,13440.3004498947,5482.87129794339,NA,NA,NA
"Cu",0.329956756756757,12327.5690240153,4864.14911755035,NA,NA,NA
"Cu",0.340205405405405,11350.2044130378,4420.73366572224,NA,NA,NA
"Cu",0.350454054054054,10503.0950466573,4039.20437512458,NA,NA,NA
"Cu",0.360702702702703,9743.05243094223,3778.50279139059,NA,NA,NA
"Cu",0.370951351351351,9085.4189900087,3600.78497807158,NA,NA,NA
"Cu",0.3812,8506.69464336478,3469.06749761165,NA,NA,NA
"Cu",0.391448648648649,7994.19723122093,3365.10360620922,NA,NA,NA
"Cu",0.401697297297297,7533.43908257777,3304.78428264107,NA,NA,NA
"Cu",0.411945945945946,7135.51343196101,3247.12702615001,NA,NA,NA
"Cu",0.422194594594595,6769.44702516733,3208.59597866895,NA,NA,NA
"Cu",0.432443243243243,6440.92131140557,3156.62839586558,NA,NA,NA
"Cu",0.442691891891892,6152.50810757001,3114.93459581676,NA,NA,NA
"Cu",0.452940540540541,5894.74583305579,3096.28286634706,NA,NA,NA
"Cu",0.463189189189189,5663.08832269731,3046.31689273667,NA,NA,NA
"Cu",0.473437837837838,5444.53540465233,2975.26673975372,NA,NA,NA
"Cu",0.483686486486486,5250.19070758976,2945.63891971171,NA,NA,NA
"Cu",0.493935135135135,5079.01795917918,2900.57731649364,NA,NA,NA
"Cu",0.504183783783784,4917.52750392551,2853.12050800601,NA,NA,NA
"Cu",0.514432432432432,4774.98148277532,2804.53364038646,NA,NA,NA
"Cu",0.524681081081081,4642.92047550923,2751.96607232198,NA,NA,NA
"Cu",0.53492972972973,4515.80444696023,2720.38241628613,NA,NA,NA
"Cu",0.545178378378378,4402.46225440219,2679.55248792371,NA,NA,NA
"Cu",0.555427027027027,4306.27711657488,2644.21389825926,NA,NA,NA
"Cu",0.565675675675676,4213.05009553102,2592.32806639627,NA,NA,NA
"Cu",0.575924324324324,4128.54470453526,2565.16183653237,NA,NA,NA
"Cu",0.586172972972973,4052.10037673812,2530.93415710431,NA,NA,NA
"Cu",0.596421621621622,3976.42565957135,2498.12844835279,NA,NA,NA
"Cu",0.60667027027027,3907.69339437991,2473.45553264408,NA,NA,NA
"Cu",0.616918918918919,3848.06730786288,2437.3768173948,NA,NA,NA
"Cu",0.627167567567568,3791.72619139238,2413.17380821383,NA,NA,NA
"Cu",0.637416216216216,3741.25937886334,2382.41860623903,NA,NA,NA
"Cu",0.647664864864865,3689.27402780038,2356.08739948556,NA,NA,NA
"Cu",0.657913513513513,3641.94697840538,2336.60944576789,NA,NA,NA
"Cu",0.668162162162162,3602.35715646098,2301.9298191203,NA,NA,NA
"Cu",0.678410810810811,3568.36535438965,2279.01892249755,NA,NA,NA
"Cu",0.688659459459459,3532.19538940607,2248.13556440581,NA,NA,NA
"Cu",0.698908108108108,3494.96123203397,2224.94024067483,NA,NA,NA
"Cu",0.709156756756757,3465.93937978568,2212.4923819838,NA,NA,NA
"Cu",0.719405405405405,3435.74416172494,2195.2107082377,NA,NA,NA
"Cu",0.729654054054054,3410.28634108194,2177.56573687848,NA,NA,NA
"Cu",0.739902702702703,3387.26903191964,2158.28564986359,NA,NA,NA
"Cu",0.750151351351351,3361.51684756598,2146.23971281498,NA,NA,NA
"Cu",0.7604,3340.37575059072,2132.04537736951,NA,NA,NA
"Cu",0.770648648648649,3320.08672935787,2115.14313230511,NA,NA,NA
"Cu",0.780897297297297,3299.99219772615,2095.08866461401,NA,NA,NA
"Cu",0.791145945945946,3281.68902362462,2078.69355962086,NA,NA,NA
"Cu",0.801394594594595,3264.35978168,2063.03648150925,NA,NA,NA
"Cu",0.811643243243243,3245.70246019589,2055.38461850056,NA,NA,NA
"Cu",0.821891891891892,3229.52243266907,2046.63920995333,NA,NA,NA
"Cu",0.83214054054054,3215.80361935663,2035.47493490517,NA,NA,NA
"Cu",0.842389189189189,3200.96463831857,2025.39303564844,NA,NA,NA
"Cu",0.852637837837838,3186.92512968182,2021.32391015415,NA,NA,NA
"Cu",0.862886486486486,3174.03310704991,2012.99473678902,NA,NA,NA
"Cu",0.873135135135135,3161.89518500886,2004.40158453134,NA,NA,NA
"Cu",0.883383783783784,3149.97120228074,1996.42532553951,NA,NA,NA
"Cu",0.893632432432432,3141.0047552946,1985.42755037616,NA,NA,NA
"Cu",0.903881081081081,3131.51287503992,1981.87973326512,NA,NA,NA
"Cu",0.91412972972973,3121.78578258422,1976.41704168018,NA,NA,NA
"Cu",0.924378378378378,3112.48177073513,1973.19273132551,NA,NA,NA
"Cu",0.934627027027027,3104.00263132468,1966.66215842105,NA,NA,NA
"Cu",0.944875675675676,3095.27475309657,1961.95008710892,NA,NA,NA
"Cu",0.955124324324324,3089.49030984961,1956.49698042214,NA,NA,NA
"Cu",0.965372972972973,3082.73674780642,1951.67414655172,NA,NA,NA
"Cu",0.975621621621622,3075.37117000305,1947.81663744693,NA,NA,NA
"Cu",0.98587027027027,3069.13133374211,1944.22084378821,NA,NA,NA
