"toxicant","model","wi"
"Cu","nec3param",0
"Cu","nec4param",0
"Cu","nechorme",0
"Cu","nechorme4",0
"Cu","ecxexp",0
"Cu","ecx4param",0.311
"Cu","ecxwb1",0.058
"Cu","ecxwb2",0.003
"Cu","ecxwb1p3",0
"Cu","ecxwb2p3",0
"Cu","ecxll5",0.305
"Cu","ecxll4",0.322
"Cu","ecxll3",0
"Cu","ecxhormebc4",0
"Zn","nec3param",0
"Zn","nec4param",0
"Zn","nechorme",0
"Zn","nechorme4",0
"Zn","ecxexp",0
"Zn","ecx4param",0
"Zn","ecxwb1",0.147
"Zn","ecxwb2",0
"Zn","ecxwb1p3",0
"Zn","ecxwb2p3",0
"Zn","ecxll5",0.853
"Zn","ecxll4",0
"Zn","ecxll3",0
"Zn","ecxhormebc4",0
