"comparison","diff.Estimate","diff.Q2.5","diff.Q97.5","x"
"5-30",0.0464232878832132,-0.02657164131433,0.13616252017966,-2.1803674602698
"5-30",0.0429159509767819,-0.0269801573106417,0.111403921917881,-1.96616958495256
"5-30",0.0380617408878311,-0.030438301528368,0.103507475593428,-1.75197170963533
"5-30",0.032821390228243,-0.0403751736203047,0.0994418335852699,-1.5377738343181
"5-30",0.028869157686716,-0.0594358511897685,0.0963011220261753,-1.32357595900086
"5-30",0.0245980619204335,-0.0846400932395105,0.09445295234426,-1.10937808368363
"5-30",0.0190637923627909,-0.109921599467424,0.0930701068552064,-0.895180208366394
"5-30",0.0121259367524078,-0.133965743051327,0.0957854103217418,-0.68098233304916
"5-30",0.00425353100882075,-0.155696453709768,0.102404984858462,-0.466784457731926
"5-30",-0.00479027071201643,-0.173866826232845,0.108508133909936,-0.252586582414692
"5-30",-0.0150922666515582,-0.189804315838102,0.102327586998635,-0.0383887070974587
"5-30",-0.0259981681901056,-0.203229445248082,0.063376451269073,0.175809168219775
"5-30",-0.0385810719493712,-0.213722827074923,0.0244966727903434,0.390007043537009
"5-30",-0.0519212666499751,-0.221704835933659,0.00622132168328381,0.604204918854243
"5-30",-0.0655071602555373,-0.227124293772693,-0.00651534354388657,0.818402794171476
"5-30",-0.0788845592545164,-0.228366935257514,-0.0164449566593739,1.03260066948871
"5-30",-0.091446344130561,-0.227229286576375,-0.026228783395772,1.24679854480594
"5-30",-0.102969766946482,-0.22539574851886,-0.0336105369069414,1.46099642012318
"5-30",-0.113719856407306,-0.219848985760885,-0.0397542486498992,1.67519429544041
"5-30",-0.122839482672903,-0.216301497607306,-0.0438356758877058,1.88939217075764
"5-30",-0.1296224053033,-0.211486335628126,-0.0463172207110265,2.10359004607488
"5-30",-0.133192548525496,-0.206909805420261,-0.0479936399863643,2.31778792139211
"5-30",-0.133000613220043,-0.201704430476074,-0.0476410396259593,2.53198579670935
"5-30",-0.129710376406931,-0.194120904191949,-0.0459720704737394,2.74618367202658
"5-30",-0.123978590910125,-0.185963474205872,-0.0427177624127815,2.96038154734381
"5-30",-0.116498030417956,-0.17506940820784,-0.0370405730946162,3.17457942266105
"5-30",-0.106661664233429,-0.16332486981497,-0.0268472847035397,3.38877729797828
"5-30",-0.095236169749214,-0.150189047094774,-0.0128521658352086,3.60297517329552
"5-30",-0.0825829894850677,-0.13536222842327,0.00566927951988837,3.81717304861275
"5-30",-0.0691944302166241,-0.119699034279484,0.0248337092657692,4.03137092392998
"5-30",-0.0558920865687083,-0.103504250999648,0.0445596250150634,4.24556879924722
"5-30",-0.0428046306361759,-0.0876061879575709,0.0633715789481776,4.45976667456445
"5-30",-0.0303669204108747,-0.0721774810632435,0.0803473987630986,4.67396454988168
"5-30",-0.0191880033070382,-0.0582862398626824,0.0945117415436044,4.88816242519892
"5-30",-0.00948542777200573,-0.0460257451963558,0.106118596436883,5.10236030051615
"5-30",-0.00162381080749013,-0.0359576793309245,0.114830112311097,5.31655817583339
