"hardness","model","wi"
"5","nec3param",0.004
"5","nec4param",0.005
"5","ecxexp",0.083
"5","ecx4param",0.095
"5","ecxwb1",0.146
"5","ecxwb2",0.02
"5","ecxwb1p3",0.078
"5","ecxwb2p3",0.107
"5","ecxll4",0.058
"5","ecxll3",0.403
"30","nec3param",0.001
"30","nec4param",0
"30","ecxexp",0
"30","ecxwb1",0.434
"30","ecxwb1p3",0.535
"30","ecxwb2p3",0.006
"30","ecxll4",0.008
"30","ecxll3",0.016
"406","nec3param",0
"406","nec4param",0
"406","ecxexp",0
"406","ecx4param",0
"406","ecxwb1",1
"406","ecxwb2",0
"406","ecxwb1p3",0
"406","ecxwb2p3",0
"406","ecxll4",0
"406","ecxll3",0
