"term","Estimate","l-95% CI","u-95% CI","Rhat"
"bot_Intercept",0.02534309036667,0.008669148725,0.0470490582,1.00093646417813
"bot_hardness30",-0.0135109573600857,-0.046629199875,0.015407142525,1.00121454615006
"bot_hardness406",-0.00444227669920494,-0.028778559975,0.017633564425,1.0007863666793
"ec50_Intercept",2.38670553158,2.143037985,2.6380685075,1.00035501693825
"ec50_hardness30",0.87628360644186,0.3743770745,1.330158345,1.00056935107247
"ec50_hardness406",2.15649705357,1.8154332475,2.4887785375,1.00091987869924
"top_Intercept",0.962992998807,0.91126083475,0.9943635435,1.00117587147801
"top_hardness30",-0.0725703651409802,-0.1696902615,0.05334372245,1.0016104111318
"top_hardness406",-0.1798689218333,-0.23743880875,-0.11314241925,1.00055004615295
"beta_Intercept",-0.660425267974,-0.7884261795,-0.52140622025,1.00033858185992
"beta_hardness30",-0.017203497178597,-0.34204762175,0.27394757725,1.00173263497623
"beta_hardness406",0.5698318299598,0.30336513025,0.837467715,1.00036407138535
