"model","value"
"X30",-0.858237989292069
"X30",-0.57240734431437
"X30",-0.561426338025776
"X30",-0.509226831004763
"X30",-0.405325703679135
"X30",-0.619951313446624
"X30",-1.03237656822242
"X30",-0.839423704320236
"X30",-0.254041597087197
"X30",-0.356268845409505
"X30",-0.480839769439854
"X30",-0.966927790225161
"X30",-0.98911862598416
"X30",-1.16747872991287
"X30",-1.36085235074167
"X30",-0.696455731693719
"X30",-0.856578048269386
"X30",-0.875575780920479
"X30",-0.734751915401002
"X30",-0.502231397000528
"X30",-0.352829644006333
"X30",-0.794109016876138
"X30",-0.682466157196066
"X30",-0.637013260590891
"X30",-0.893004618143233
"X30",-0.676641278904521
"X30",-0.887474074408207
"X30",-1.00699920760509
"X30",-0.898317124374166
"X30",-0.706786036223414
"X30",-0.42163152936666
"X30",-0.992774251042151
"X30",-0.885416877003073
"X30",-1.20166481142479
"X30",-0.902167203113839
"X30",-0.946019026393327
"X30",-1.80447067572784
"X30",-0.463436077005933
"X30",-0.59974996212143
"X30",0.472017661810162
"X30",-0.690170650511538
"X30",-0.799772797173684
"X30",-0.697782419777529
"X30",-0.442979018106421
"X30",-0.161850246450407
"X30",-0.614314761647195
"X30",0.257432468300512
"X30",-0.647727522743492
"X30",-0.76106969137584
"X30",-0.696137712106557
"X30",-1.18985518972299
"X30",-0.778796166213944
"X30",-0.724558751094765
"X30",-0.658167521838751
"X30",-0.749536204829154
"X30",-0.757412936018928
"X30",-0.53485290335085
"X30",-0.400501852382627
"X30",-0.483562529290538
"X30",-1.23487698317454
"X30",-0.130132318191568
"X30",-0.692677449320177
"X30",-0.286285569385047
"X30",-0.321827486842309
"X30",-0.349251423844111
"X30",-0.872612870539119
"X30",-0.138842148452783
"X30",-0.94765285236466
"X30",-0.729248739549182
"X30",-1.0067902824898
"X30",-1.07266716355331
"X30",-0.672317288234458
"X30",-1.12525542580669
"X30",-0.188172864872257
"X30",-1.24815100552461
"X30",-1.02254660052461
"X30",-0.847394082369817
"X30",-0.646406811146169
"X30",-1.24882390143658
"X30",-0.335556180783864
"X30",-0.270369039008338
"X30",-0.621229691661456
"X30",-0.292294504832233
"X30",-0.543267076438474
"X30",-0.732847786147864
"X30",-0.395132286750895
"X30",-0.556590969954745
"X30",-0.624785172451532
"X30",-0.847828520361087
"X30",-0.571390585073161
"X30",-0.378755977109599
"X30",-0.740440341221774
"X30",-0.645172706727976
"X30",-0.381889099944267
"X30",-1.04595306213174
"X30",-0.853930709126712
"X30",-0.619891934255939
"X30",-0.240092737325308
"X30",-0.742772886252516
"X30",-0.688128227121444
"X30",-0.158507882775844
"X30",-1.31436576071673
"X30",-0.798484459559872
"X30",-0.647866523167122
"X30",-0.663029999014364
"X30",-0.4181548386528
"X30",-0.453860714270519
"X30",-0.974043326374446
"X30",-0.741375327834488
"X30",-0.761863744365924
"X30",-0.854318711636417
"X30",-0.494973760620872
"X30",-1.03911673502728
"X30",-0.211042806070482
"X30",-1.29167614398096
"X30",-0.73766817310454
"X30",-1.0096420824537
"X30",-0.793683779354439
"X30",-0.679858812566531
"X30",-0.503947326198066
"X30",-1.12317204142023
"X30",-1.18343640155163
"X30",-0.634543008168647
"X30",-0.810086171657397
"X30",-0.756517883718985
"X30",-0.630863657473021
"X30",-0.70256806317962
"X30",-0.675683004519123
"X30",-0.848438534933984
"X30",-0.457144880168099
"X30",-0.600225876257041
"X30",-0.62549577675704
"X30",-0.507832935856155
"X30",-0.460444667301881
"X30",-0.766245744073091
"X30",-0.590553095530441
"X30",-0.695301686034655
"X30",-1.00398206402671
"X30",-0.62372390960579
"X30",-0.611334069246298
"X30",-0.815399919355364
"X30",-0.503566632514839
"X30",-0.667942047123658
"X30",-0.222198926898249
"X30",-0.60384951248752
"X30",-0.455628135789642
"X30",-0.310560239296495
"X30",-0.168309646878719
"X30",-0.817513004360104
"X30",-0.693683035817181
"X30",-0.800473681393668
"X30",-0.922069796428935
"X30",-0.371771692394006
"X30",-0.932505133678842
"X30",-0.449525543201066
"X30",-1.45980814749674
"X30",-1.31527877125316
"X30",-0.384387795259906
"X30",-1.06700798369571
"X30",-0.492401024677322
"X30",-0.0481752521164217
"X30",-0.928369991817823
"X30",-0.529108446115879
"X30",-0.319645055677365
"X30",-0.647954126700894
"X30",-0.61260784256792
"X30",-0.895614865488642
"X30",-0.61881981440997
"X30",-0.604366863091266
"X30",-0.746703931211941
"X30",-0.371392549285392
"X30",0.702506187827878
"X30",-0.55554444572829
"X30",-1.71374406039808
"X30",-0.83599586635474
"X30",-0.92096881458714
"X30",-0.64344150610743
"X30",-0.64252533300606
"X30",-0.913429066641693
"X30",-1.14329147819794
"X30",-0.445669719434085
"X30",-0.982877703074745
"X30",-0.40568859790902
"X30",-0.771524489328113
"X30",-0.874866308093726
"X30",-0.14284587399016
"X30",-0.687595515615948
"X30",-0.834149593944663
"X30",-0.668231048032898
"X30",-0.770797223215159
"X30",-1.01907805259659
"X30",-0.505752450632534
"X30",-0.618453279318472
"X30",-0.555661575922956
"X30",-0.724883291560755
"X30",-0.973273804179795
"X30",-0.819478648486865
"X30",-0.187279343854471
"X30",-0.0880500568623246
"X30",-0.4101152373763
"X30",-0.648798561957403
"X30",-0.866283687334279
"X30",-0.384306438850644
"X30",-0.760668306353986
"X30",-0.702386154955712
"X30",-0.83359566283653
"X30",-0.843308973100796
"X30",-0.574847702927516
