"herbicide","model","wi","dpar","link","parameter","Estimate","Q2.5","Q97.5"
"ametryn","ecx4param",0.408745479271508,"mu","identity","top",0.703295425,0.67395185925,0.735939537
"ametryn","ecx4param",0.408745479271508,"mu","identity","bot",0.00875855265,0.0056130945775,0.01261903175
"ametryn","ecx4param",0.408745479271508,"mu","identity","beta",0.259943865,0.1554487205,0.36296974825
"ametryn","ecx4param",0.408745479271508,"mu","identity","ec50",1.33467631931848,1.1611874599405,1.51207048522497
"ametryn","ecxll4",0.387299452432135,"mu","identity","top",0.702958885,0.6739097605,0.735418967
"ametryn","ecxll4",0.387299452432135,"mu","identity","bot",0.00878495715,0.0055766615125,0.012644361
"ametryn","ecxll4",0.387299452432135,"mu","identity","beta",0.26018674,0.1578529335,0.36951726
"ametryn","ecxll4",0.387299452432135,"mu","identity","ec50",1.33957987678353,1.16428916918224,1.51795909853459
"ametryn","ecxwb2",0.109096267740123,"mu","identity","top",0.65822519,0.63653984925,0.68173507975
"ametryn","ecxwb2",0.109096267740123,"mu","identity","bot",0.00714500235,0.00379167945,0.011187513475
"ametryn","ecxwb2",0.109096267740123,"mu","identity","beta",0.07253527,-0.03288424045,0.182560525
"ametryn","ecxwb2",0.109096267740123,"mu","identity","ec50",1.0037588061651,0.876079285131832,1.13851553075958
"ametryn","nec4param",0.0328117611598416,"mu","identity","top",0.646544735,0.62668040025,0.6663375065
"ametryn","nec4param",0.0328117611598416,"mu","identity","bot",0.0059650489,0.0023990909075,0.010162555275
"ametryn","nec4param",0.0328117611598416,"mu","identity","beta",-0.102321945,-0.19723620575,-0.00574756741
"ametryn","nec4param",0.0328117611598416,"mu","identity","nec",0.645684848426252,0.579286808637929,0.708457381408185
"ametryn","nec3param",0.0316307855757704,"mu","identity","top",0.646490735,0.62703376175,0.66617284325
"ametryn","nec3param",0.0316307855757704,"mu","identity","beta",-0.216456425,-0.28591142275,-0.15095835675
"ametryn","nec3param",0.0316307855757704,"mu","identity","nec",0.599513929259185,0.533300925066547,0.660085810348532
"ametryn","ecxwb2p3",0.0181809630479738,"mu","identity","top",0.67256092,0.64911233425,0.69792871475
"ametryn","ecxwb2p3",0.0181809630479738,"mu","identity","beta",-0.0884867485,-0.1604367945,-0.019823288325
"ametryn","ecxwb2p3",0.0181809630479738,"mu","identity","ec50",0.904167982136957,0.78629353805577,1.03133630922216
"ametryn","ecxwb1",0.0121752408793141,"mu","identity","top",0.83539269,0.76651721125,0.9186691695
"ametryn","ecxwb1",0.0121752408793141,"mu","identity","bot",0.012679903,0.00916625696,0.017053341175
"ametryn","ecxwb1",0.0121752408793141,"mu","identity","beta",-0.515297695,-0.66521615025,-0.36055038175
"ametryn","ecxwb1",0.0121752408793141,"mu","identity","ec50",1.67715221510103,1.31268729645125,2.06438897863629
"ametryn","ecxll3",6.00498933338882e-05,"mu","identity","top",0.753424855,0.71736630775,0.796140407
"ametryn","ecxll3",6.00498933338882e-05,"mu","identity","beta",0.0182891955,-0.0676025304,0.097305394525
"ametryn","ecxll3",6.00498933338882e-05,"mu","identity","ec50",1.12398750523906,0.931601788047415,1.32045532803252
"ametryn","ecxexp",2.8950794393221e-26,"mu","identity","top",0.28428609,0.26379300525,0.307779986
"ametryn","ecxexp",2.8950794393221e-26,"mu","identity","beta",-0.85659144,-0.94354973175,-0.7821826335
"ametryn","ecxwb1p3",1.30982473582031e-27,"mu","identity","top",0.976680845,0.928580842,0.99642946
"ametryn","ecxwb1p3",1.30982473582031e-27,"mu","identity","beta",-1.0827322,-1.17758701,-1.0048434
