"herbicide","model","waic","wi"
"ametryn","nec3param",-451.015516313458,0.0316307855757704
"ametryn","nec4param",-456.538570388479,0.0328117611598416
"ametryn","ecxexp",-320.611719659729,2.8950794393221e-26
"ametryn","ecx4param",-465.251775916794,0.408745479271508
"ametryn","ecxwb1",-443.807362064018,0.0121752408793141
"ametryn","ecxwb2",-461.329818500782,0.109096267740123
"ametryn","ecxwb1p3",-323.330693303181,1.30982473582031e-27
"ametryn","ecxwb2p3",-447.033623262005,0.0181809630479738
"ametryn","ecxll4",-465.148891190993,0.387299452432135
"ametryn","ecxll3",-432.290371187639,6.00498933338882e-05
"atrazine","nec3param",-307.713659285741,0.000813306122903678
"atrazine","nec4param",-304.648116057534,0.00166152341246552
"atrazine","ecxexp",-130.407990890651,8.14530095219401e-36
"atrazine","ecx4param",-332.574512148565,0.192686809636879
"atrazine","ecxwb1",-335.469849479078,0.612680000071729
"atrazine","ecxwb2",-318.53159022839,0.00206327999978283
"atrazine","ecxwb1p3",-260.686400571457,2.38420513552247e-12
"atrazine","ecxwb2p3",-313.858999302154,0.00242875139880717
"atrazine","ecxll4",-332.550019238675,0.187276389582389
"atrazine","ecxll3",-302.456441328577,0.000389939772659531
"diuron","nec3param",-311.880519131738,1.7409240492061e-07
"diuron","nec4param",-308.046047759689,1.33781886099961e-07
"diuron","ecxexp",-157.000676178984,5.16507658270878e-39
"diuron","ecx4param",-365.235838948162,0.336257154103976
"diuron","ecxwb1",-361.584344174852,0.197693618007498
"diuron","ecxwb2",-340.099630381025,0.000310557251932591
"diuron","ecxwb1p3",-300.233750303202,5.73931508371752e-12
"diuron","ecxwb2p3",-343.564360891552,0.000365938258958091
"diuron","ecxll4",-365.334332168232,0.354363700008458
"diuron","ecxll3",-357.777241669679,0.111008724489148
"hexazinone","nec3param",-271.577602035586,4.84160623738292e-05
"hexazinone","nec4param",-266.920117121967,8.82817653205803e-06
"hexazinone","ecxexp",-96.960974685691,1.65416394093928e-41
"hexazinone","ecx4param",-304.263131104904,0.126165889953549
"hexazinone","ecxwb1",-285.265142161448,0.000834077657413071
"hexazinone","ecxwb2",-293.490784792828,0.0179600885482346
"hexazinone","ecxwb1p3",-272.078212436755,0.0130800847790605
"hexazinone","ecxwb2p3",-297.918483656021,0.0629630395457613
"hexazinone","ecxll4",-304.325321650359,0.130334422796212
"hexazinone","ecxll3",-308.834560178475,0.648605152480863
"irgarol","nec3param",-358.71710241489,0.000913425297828459
"irgarol","nec4param",-358.209448022098,0.000742439663550052
"irgarol","ecxexp",-282.517253698137,2.22509784680083e-17
"irgarol","ecx4param",-378.205417944826,0.314180586632018
"irgarol","ecxwb1",-375.959823388238,0.306500717054117
"irgarol","ecxwb2",-370.981302216562,0.030764644510304
"irgarol","ecxwb1p3",-249.392378708156,7.5956779427386e-23
"irgarol","ecxwb2p3",-360.246460262577,0.00163812248913586
"irgarol","ecxll4",-378.409763067919,0.344839446641351
"irgarol","ecxll3",-351.782438706199,0.000420617711695517
"simazine","nec3param",-273.91184233333,0.000656173509836802
"simazine","nec4param",-270.291422274892,0.000330589351310201
"simazine","ecxexp",-97.5513497881669,1.48468035663139e-36
"simazine","ecx4param",-304.301392749441,0.239591272054146
"simazine","ecxwb1",-302.915084287083,0.117464836124217
"simazine","ecxwb2",-294.450055298458,0.0202142774191999
"simazine","ecxwb1p3",-294.628176299908,0.0173707251575728
"simazine","ecxwb2p3",-298.136300183118,0.0614390648160768
"simazine","ecxll4",-303.83349960756,0.187817047587544
"simazine","ecxll3",-304.912201723644,0.355116013980096
"tebuthiuron","nec3param",-490.461946523407,0.0140797831348276
"tebuthiuron","nec4param",-486.228594451066,0.00283924910417365
"tebuthiuron","ecxexp",-111.064924790643,1.13353741509037e-78
"tebuthiuron","ecx4param",-500.560553009526,0.00414058691539548
"tebuthiuron","ecxwb1",-456.275936422401,3.62892218200192e-10
"tebuthiuron","ecxwb2",-518.675048933908,0.298261277435932
"tebuthiuron","ecxwb1p3",-386.202237655614,2.109259152477e-23
"tebuthiuron","ecxwb2p3",-520.941532349399,0.676140274394553
"tebuthiuron","ecxll4",-500.723290494766,0.00451919989327505
"tebuthiuron","ecxll3",-479.673199268487,1.96287589505345e-05
