"model","value","concentration"
"ametryn",-1.22269169541007,0.294436565784213
"ametryn",-1.79038342978689,0.166896164436306
"ametryn",-1.95318279323794,0.141821962500067
"ametryn",-1.53141611044072,0.216229245911215
"ametryn",-1.57880064411512,0.206222283853205
"ametryn",-1.82475778907306,0.161256697534191
"ametryn",-1.50661066646547,0.221659985851258
"ametryn",-1.87258440829783,0.153725857610305
"ametryn",-1.74279785767668,0.175030005863981
"ametryn",-2.05280670695688,0.128374089025545
"ametryn",-0.968235362826791,0.379752572693241
"ametryn",-1.60914406726397,0.200058777669371
"ametryn",-1.4122645100955,0.243591043735845
"ametryn",-1.54899004535023,0.212462442938623
"ametryn",-1.30580356163156,0.270954718727043
"ametryn",-1.64696320152291,0.19263401194393
"ametryn",-1.46652282838962,0.230726367151396
"ametryn",-1.14855561309652,0.317094445833275
"ametryn",-1.75370168589415,0.173131875994387
"ametryn",-1.19436215004359,0.302897095477157
"ametryn",-1.45508315729782,0.233380955764555
"ametryn",-1.86989762261532,0.154139441400268
"ametryn",-1.64308311600762,0.193382900319349
"ametryn",-1.10655815806487,0.330695205192152
"ametryn",-1.57624910897081,0.206749139117023
"ametryn",-1.57217409551135,0.207593363586449
"ametryn",-1.74050756971917,0.175431334382122
"ametryn",-1.61194408358026,0.199499393335778
"ametryn",-1.78709976637494,0.167445096025112
"ametryn",-1.61159569236332,0.19956890928087
"ametryn",-0.42049834,0.656719468675728
"ametryn",-2.12980080489018,0.11886096801802
"ametryn",-1.35710112684241,0.257405883453298
"ametryn",-1.78270460834867,0.168182663358035
"ametryn",-1.65593870155228,0.190912761461204
"ametryn",-1.87972503844152,0.1526320679389
"ametryn",-0.39660449,0.672599993056056
"ametryn",-1.69083440486078,0.184365624221548
"ametryn",-0.43005571,0.650472855871092
"ametryn",-1.72791390982989,0.17765462725389
"ametryn",-2.10930735298245,0.121321970638518
"ametryn",-1.67209323553831,0.187853432318327
"ametryn",-1.73906329992895,0.175684887614189
"ametryn",-1.82439123324978,0.161315817950519
"ametryn",-1.5722931626345,0.207568647513325
"ametryn",-1.83072667583758,0.16029704145501
"ametryn",-1.7807540913023,0.168511026644806
"ametryn",-1.82019345820545,0.161994408754667
"ametryn",-1.96844339178785,0.139674104944387
"ametryn",-0.43996387,0.644059690539395
"ametryn",-1.74250839447345,0.175080677943637
"ametryn",-0.52730816,0.590191534511253
"ametryn",-1.70271530660314,0.182188155117218
"ametryn",-2.02255234657624,0.132317314080851
"ametryn",-1.74227664906568,0.175121256788538
"ametryn",-1.64878525240212,0.192283342538866
"ametryn",-1.18207492509818,0.306641819242764
"ametryn",-1.4223870693675,0.241137716879316
"ametryn",-1.77083665482063,0.170190538508378
"ametryn",-1.61694332727377,0.198504536090682
"ametryn",-1.16277756357958,0.312616661215981
"ametryn",-1.96502352266276,0.140152589814935
"ametryn",-1.7227751291329,0.178569905115107
"ametryn",-1.63746680729348,0.19447205403641
"ametryn",-1.82027965768932,0.161980445522062
"ametryn",-1.63553468465073,0.1948481611209
"ametryn",-1.64823754205878,0.192388686960906
"ametryn",-1.74195959254294,0.175176788928222
"ametryn",-1.61007585035003,0.199872453104641
"ametryn",-1.71180850907139,0.180538990791575
"ametryn",-1.77544834964399,0.169407478687241
"ametryn",-1.70435317533015,0.181889999072405
"ametryn",-1.61422483772458,0.199044902755291
"ametryn",-1.2977242435691,0.273152715280548
"ametryn",-1.32676251601543,0.265334889727626
"ametryn",-1.56509861515928,0.209067394942211
"ametryn",-1.63329276159997,0.195285485745619
"ametryn",-1.74938106379731,0.173881531726836
"ametryn",-1.53325800151041,0.215831341754714
"ametryn",-1.61707195306027,0.19847900493062
"ametryn",-1.55705660324769,0.210755496189828
"ametryn",-1.22165811844544,0.294741045960898
"ametryn",-1.7159197883164,0.179798268287693
"ametryn",-1.78021541519629,0.168601823961436
"ametryn",-1.67888096923995,0.186582650986538
"ametryn",-1.51303440648192,0.220240663290288
"ametryn",-1.7476044863581,0.174190720300597
"ametryn",-1.68974259220014,0.184567026871235
"ametryn",-1.89415201211514,0.150445857234386
"ametryn",-1.7521001689398,0.173409371776918
"ametryn",-1.87023218461685,0.154087880825824
"ametryn",-1.72734447669377,0.177755818493521
"ametryn",-1.72610562444102,0.177976168151854
"ametryn",-1.85512284662595,0.156433724139317
