"herbicide","concentration","fvfm"
"irgarol",0.1,0.63
"diuron",0.1,0.68
"ametryn",0.1,0.68
"tebuthiuron",0.1,0.73
"hexazinone",0.1,0.64
"simazine",0.1,0.69
"atrazine",0.1,0.67
"irgarol",0.1,0.64
"diuron",0.1,0.71
"ametryn",0.1,0.68
"tebuthiuron",0.1,0.7
"hexazinone",0.1,0.67
"simazine",0.1,0.71
"atrazine",0.1,0.67
"irgarol",0.1,0.68
"diuron",0.1,0.72
"ametryn",0.1,0.67
"tebuthiuron",0.1,0.71
"hexazinone",0.1,0.64
"simazine",0.1,0.66
"atrazine",0.1,0.64
"irgarol",0.1,0.66
"diuron",0.1,0.71
"ametryn",0.1,0.65
"tebuthiuron",0.1,0.72
"simazine",0.1,0.65
"atrazine",0.1,0.63
"irgarol",0.1,0.7
"diuron",0.1,0.7
"ametryn",0.1,0.67
"tebuthiuron",0.1,0.71
"hexazinone",0.1,0.64
"simazine",0.1,0.67
"atrazine",0.1,0.63
"irgarol",0.1,0.68
"diuron",0.1,0.67
"ametryn",0.1,0.67
"tebuthiuron",0.1,0.7
"hexazinone",0.1,0.66
"simazine",0.1,0.64
"atrazine",0.1,0.62
"irgarol",0.1,0.68
"diuron",0.1,0.7
"ametryn",0.1,0.67
"tebuthiuron",0.1,0.7
"hexazinone",0.1,0.69
"simazine",0.1,0.7
"atrazine",0.1,0.61
"irgarol",0.1,0.68
"diuron",0.1,0.71
"ametryn",0.1,0.68
"tebuthiuron",0.1,0.7
"hexazinone",0.1,0.7
"simazine",0.1,0.65
"atrazine",0.1,0.63
"irgarol",0.1,0.69
"diuron",0.1,0.71
"ametryn",0.1,0.7
"tebuthiuron",0.1,0.72
"hexazinone",0.1,0.65
"simazine",0.1,0.67
"atrazine",0.1,0.66
"irgarol",0.1,0.66
"diuron",0.1,0.71
"ametryn",0.1,0.7
"tebuthiuron",0.1,0.69
"hexazinone",0.1,0.64
"simazine",0.1,0.61
"atrazine",0.1,0.57
"irgarol",0.1,0.68
"diuron",0.1,0.68
"ametryn",0.1,0.69
"tebuthiuron",0.1,0.7
"hexazinone",0.1,0.64
"simazine",0.1,0.69
"atrazine",0.1,0.58
"irgarol",0.1,0.68
"diuron",0.1,0.68
"ametryn",0.1,0.68
"tebuthiuron",0.1,0.69
"hexazinone",0.1,0.63
"simazine",0.1,0.69
"atrazine",0.1,0.62
"irgarol",0.3,0.4
"diuron",0.3,0.68
"ametryn",0.3,0.64
"tebuthiuron",0.3,0.71
"hexazinone",0.3,0.72
"simazine",3,0.69
"atrazine",1,0.66
"irgarol",0.3,0.56
"diuron",0.3,0.63
"ametryn",0.3,0.64
"tebuthiuron",0.3,0.66
"hexazinone",0.3,0.71
"simazine",3,0.71
"atrazine",1,0.58
"irgarol",0.3,0.58
"diuron",0.3,0.63
"ametryn",0.3,0.62
"tebuthiuron",0.3,0.71
