"comparison","prob"
"ametryn-atrazine",0.0217554388597149
"ametryn-diuron",0.810327581895474
"ametryn-hexazinone",0.0531382845711428
"ametryn-irgarol",0.919229807451863
"ametryn-simazine",0.0112528132033008
"ametryn-tebuthiuron",0.00962740685171293
"atrazine-diuron",0.986496624156039
"atrazine-hexazinone",0.834458614653663
"atrazine-irgarol",0.987871967991998
"atrazine-simazine",0.0447611902975744
"atrazine-tebuthiuron",0.0100025006251563
"diuron-hexazinone",0.0150037509377344
"diuron-irgarol",0.732558139534884
"diuron-simazine",0.010752688172043
"diuron-tebuthiuron",0.00937734433608402
"hexazinone-irgarol",0.986621655413853
"hexazinone-simazine",0.0165041260315079
"hexazinone-tebuthiuron",0.00975243810952738
"irgarol-simazine",0.010752688172043
"irgarol-tebuthiuron",0.00962740685171293
"simazine-tebuthiuron",0.0435108777194299
