"raw_x","suc","tot"
0.1,101,175
0.1,106,112
0.1,102,103
0.1,112,114
0.1,58,69
0.1,158,165
6.25,95,109
6.25,91,92
6.25,93,99
6.25,113,138
6.25,118,125
6.25,112,163
12.5,57,102
12.5,92,104
12.5,82,84
12.5,129,132
12.5,55,117
12.5,22,22
25,87,106
25,79,84
25,84,102
25,51,79
25,103,110
25,107,108
50,91,95
50,100,124
50,61,71
50,92,119
50,64,79
50,45,112
100,104,140
100,81,111
100,81,101
100,53,86
100,32,93
100,18,116
200,24,136
200,24,110
200,13,149
200,19,100
200,3,132
200,34,101
400,6,99
400,9,142
400,6,124
400,3,100
400,15,123
400,16,191
