Test Name,Sample Name,Sample Type,Nominal Zn,Mean Zn,Nominal Hardness,Hardness,DOC,Pcon,Nominal pH,Measured pH
Chlorella_200127_Definitive_H400_pH8.5,Control,Control,0,0.19238919,400,405.7439284,0.494662998,100.8093604,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Control,Control,0,0.14,400,405.7439284,0.494662998,99.37556085,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Control,Control,0,0.14,400,405.7439284,0.494662998,99.81507879,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn5,Treatment,5,3.319451778,400,405.7439284,0.494662998,91.3305391,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn5,Treatment,5,2.913551768,400,405.7439284,0.494662998,82.66453281,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn10,Treatment,10,6.018766634,400,405.7439284,0.494662998,82.58230136,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn10,Treatment,10,5.532401199,400,405.7439284,0.494662998,83.6480633,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn30,Treatment,30,20.62877669,400,405.7439284,0.494662998,64.89394714,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn30,Treatment,30,19.78824522,400,405.7439284,0.494662998,72.07969482,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn50,Treatment,50,32.77732541,400,405.7439284,0.494662998,56.81849733,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn50,Treatment,50,30.63854174,400,405.7439284,0.494662998,54.39174206,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn100,Treatment,100,71.7638934,400,405.7439284,0.494662998,42.40848105,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn100,Treatment,100,66.63991251,400,405.7439284,0.494662998,37.70797622,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn250,Treatment,250,165.0473525,400,405.7439284,0.494662998,22.50966729,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn250,Treatment,250,158.3818406,400,405.7439284,0.494662998,25.09118649,8.5,8.3
Chlorella_200127_Definitive_H400_pH8.5,Zn500,Treatment,500,343.2403796,400,405.7439284,0.494662998,0,8.5,8.3
