Nominal,Treatment,Replicate,Tile colour,T0_Colour_index,T7_Colour_index,Perc_change
0,0,A,red ,6.28,4.841,22.91401274
0,0,A,green,5.102,3.297,35.37828303
0,0,A,grey,5.735,4.407,23.15605929
0,0,A,purple,5.965,4.253,28.7007544
0,0,A,blue,5.361,3.374,37.0639806
0,0,B,red ,6.557,4.919,24.9809364
0,0,B,green,5.204,3.85,26.01844735
0,0,B,grey,5.937,5.574,6.11419909
0,0,B,purple,5.332,3.625,32.01425356
0,0,B,blue,5.357,3.222,39.85439612
0,0,C,red ,6.106,4.244,30.49459548
0,0,C,green,4.822,3.147,34.73662381
0,0,C,grey,4.983,3.779,24.16215131
0,0,C,purple,6.21,4.738,23.7037037
0,0,C,blue,4.958,3.197,35.51835418
0,0,D,red ,6.018,4.398,26.91924227
0,0,D,green,5.252,4.014,23.57197258
0,0,D,grey,4.754,3.626,23.72738746
0,0,D,purple,5.164,3.296,36.17350891
0,0,D,blue,4.548,3.173,30.23306948
5,255,A,red ,6.283,5.258,16.3138628
5,255,A,green,5.403,4.23,21.71016102
5,255,A,grey,6.044,5.425,10.24156188
5,255,A,purple,5.908,4.91,16.89234936
5,255,A,blue,4.624,3.724,19.46366782
5,255,B,red ,5.749,4.497,21.77770047
5,255,B,green,5.791,4.466,22.88033155
5,255,B,grey,5.529,5.106,7.650569723
5,255,B,purple,6.009,5.059,15.8096189
5,255,B,blue,5.36,4.806,10.3358209
5,255,C,red ,5.879,4.597,21.80642966
5,255,C,green,4.592,3.242,29.3989547
5,255,C,grey,6.149,5.156,16.14896731
5,255,C,purple,5.915,4.091,30.83685545
5,255,C,blue,4.719,3.044,35.49480822
5,255,D,red ,5.944,3.992,32.83983849
5,255,D,green,5.126,3.681,28.18962154
5,255,D,grey,5.338,3.982,25.40277257
5,255,D,purple,5.391,3.809,29.34520497
5,255,D,blue,5.258,3.064,41.72689235
8,425,A,red ,6.238,5.557,10.91696056
8,425,A,green,5.398,4.798,11.11522786
8,425,A,grey,5.889,4.939,16.1317711
8,425,A,purple,6.274,4.72,24.76888747
8,425,A,blue,4.704,3.602,23.42687075
8,425,B,red ,6.268,5.246,16.30504148
8,425,B,green,5.278,4.094,22.43273967
8,425,B,grey,6.153,5.114,16.88607183
8,425,B,purple,5.983,4.377,26.84272104
8,425,B,blue,4.857,4.136,14.84455425
8,425,C,red ,5.574,5.165,7.337639038
8,425,C,green,4.544,3.013,33.69278169
8,425,C,grey,5.755,4.286,25.52562989
8,425,C,purple,5.683,3.771,33.64420201
8,425,C,blue,4.583,3.064,33.14422867
8,425,D,red ,6.14,5.128,16.48208469
8,425,D,green,5.117,3.795,25.83545046
8,425,D,grey,5.474,4.621,15.58275484
8,425,D,purple,4.924,3.823,22.35987002
8,425,D,blue,5.561,3.228,41.95288617
13,708,A,red ,6.266,5.517,11.9533993
13,708,A,green,5.152,4.135,19.73990683
13,708,A,grey,5.965,5.3,11.14836547
13,708,A,purple,5.663,4.682,17.32297369
13,708,A,blue,5.283,4.266,19.25042589
13,708,B,red ,6.165,5.334,13.47931873
13,708,B,green,5.489,4.741,13.62725451
13,708,B,grey,5.674,5.402,4.793796264
13,708,B,purple,6.074,4.995,17.76424103
13,708,B,blue,4.03,2.843,29.45409429
13,708,C,red ,5.659,4.925,12.97048949
13,708,C,green,4.385,3.146,28.25541619
13,708,C,grey,5.415,4.636,14.38596491
13,708,C,purple,5.805,4.775,17.74332472
13,708,C,blue,5.554,4.008,27.83579402
13,708,D,red ,5.862,5.102,12.96485841
13,708,D,green,5.775,4.439,23.13419913
13,708,D,grey,5.914,5.116,13.49340548
13,708,D,purple,5.659,4.276,24.43894681
13,708,D,blue,5.968,3.521,41.00201072
22,1180,A,red ,5.197,5.613,-8.004618049
22,1180,A,green,4.853,4.594,5.336905007
22,1180,A,grey,4.832,5.56,-15.06622517
22,1180,A,purple,4.792,4.853,-1.272954925
22,1180,A,blue,5.585,,
22,1180,B,red ,6.159,6.493,-5.422958272
22,1180,B,green,4.841,4.592,5.143565379
22,1180,B,grey,4.906,5.051,-2.955564615
22,1180,B,purple,5.778,5.241,9.293873313
22,1180,B,blue,4.302,,
22,1180,C,red ,5.725,5.558,2.917030568
22,1180,C,green,5.207,4.345,16.55463799
22,1180,C,grey,5.382,4.778,11.22259383
22,1180,C,purple,5.631,4.559,19.03747114
22,1180,C,blue,4.496,4.607,-2.46886121
22,1180,D,red ,6.202,6.107,1.531763947
22,1180,D,green,4.746,4.628,2.486304256
22,1180,D,grey,5.471,5.596,-2.284774264
22,1180,D,purple,5.944,5.146,13.42530283
22,1180,D,blue,4.811,,
