"raw_x","resp"
0.01,"0.567"
0.01,"0.572"
0.01,"0.578"
0.01,"0.597"
0.01,"0.569"
0.3,"0.615"
0.3,"0.51"
0.3,"0.514"
0.3,"0.588"
0.3,"0.475"
1,"0.562"
1,"0.569"
1,"0.603"
1,"0.547"
1,"0.588"
3,"0.573"
3,"0.567"
3,"0.577"
3,"0.542"
3,"0.585"
10,"0.628"
10,"0.595"
10,"0.53"
10,"0.6"
10,"0.592"
30,"0.576"
30,"0.618"
30,"0.607"
30,"0.404"
30,"0.445"
100,"0.331"
100,"0.41"
100,"0.452"
100,"0.44"
100,"0.421"
300,"0.322"
300,"0.226"
300,"0.294"
300,"0.4"
300,"0.419"
0.01,"0.577"
0.01,"0.563"
0.01,"0.588"
0.01,"0.633"
0.01,"0.559"
0.3,"0.58"
0.3,"0.597"
0.3,"0.612"
0.3,"0.632"
0.3,"0.547"
1,"0.595"
1,"0.572"
1,"0.576"
1,"0.504"
1,"0.563"
3,"0.59"
3,"0.561"
3,"0.573"
3,"0.564"
3,"0.558"
10,"0.558"
10,"0.556"
10,"0.579"
10,"0.581"
10,"0.633"
30,"0.644"
30,"0.564"
30,"0.625"
30,"0.431"
30,"0.405"
100,"0.418"
100,"0.375"
100,"0.341"
100,"0.308"
100,"0.329"
300,"0.253"
300,"0.171"
300,"0.271"
300,"0.423"
300,"0.435"
0.01,"0.586"
0.01,"0.588"
0.01,"0.594"
0.01,"0.626"
0.01,"0.53"
0.3,"0.596"
0.3,"0.617"
0.3,"0.563"
0.3,"0.612"
0.3,"0.541"
1,"0.559"
1,"0.551"
1,"0.548"
1,"0.555"
1,"0.594"
3,"0.592"
3,"0.541"
3,"0.566"
3,"0.633"
3,"0.556"
10,"0.56"
10,"0.578"
10,"0.615"
10,"0.612"
10,"0.621"
30,"0.622"
30,"0.589"
30,"0.541"
30,"0.333"
30,"0.374"
100,"0.36"
100,"0.445"
100,"0.184"
100,"0.413"
100,"0.336"
300,"0.36"
300,"0.261"
300,"0.267"
300,"0.336"
300,"0.419"
0.01,"0.61"
0.01,"0.545"
0.01,"0.602"
0.01,"0.591"
0.01,"0.602"
0.3,"0.621"
0.3,"0.591"
0.3,"0.544"
0.3,"0.602"
0.3,"0.557"
1,"0.541"
1,"0.584"
1,"0.57"
1,"0.551"
1,"0.598"
3,"0.552"
3,"0.425"
3,"0.535"
3,"0.595"
3,"0.59"
10,"0.605"
10,"0.569"
10,"0.586"
10,"0.592"
10,"0.595"
30,"0.622"
30,"0.63"
30,"0.611"
30,"0.377"
30,"0.435"
100,"0.404"
100,"0.426"
100,"0.235"
100,"0.452"
100,"0.365"
300,"0.302"
300,"0.247"
300,"0.224"
300,"0.436"
300,"0.313"
